Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
HATS-70,1,1,192.314,Bode's Galaxy,,,,,,,,,,,
HATS-71,1,1,221.106,Black Eye Galaxy,,,,,,,,,,,
HATS-72,1,1,104.262,Sculptor Galaxy,,,,,,,,,,,
HATS-74 A,2,1,24.493,Bear Paw Galaxy,,,,,,,,,,,
HATS-75,1,1,212.945,Meathook Galaxy,,,,,,,,,,,
HATS-76,1,1,295.422,Milky Way,,,,,,,,,,,
HATS-77,1,1,184.375,Sculptor Dwarf Galaxy,,,,,,,,,,,
HATS-8,1,1,83.039,Comet Galaxy,,,,,,,,,,,
HATS-9,1,1,240.618,Hoag's Object,,,,,,,,,,,
HD 100546,1,1,297.435,Grasshopper,,,,,,,,,,,
HD 100655,2,1,8.018,Small Magellanic Cloud,,,,,,,,,,,
HD 100777,1,1,63.659,Mice Galaxies,,,,,,,,,,,
HIP 56998,1,2,174.571,Andromeda Galaxy,,,,,,,,,,,
HD 10180,1,6,248.43,Sunflower Galaxy,,,,,,,,,,,
HD 101930,2,1,10.076,Triangulum Galaxy,,,,,,,,,,,
HD 102117,1,1,249.164,Whale Galaxy,,,,,,,,,,,
HD 102195,1,1,267.192,Bear Paw Galaxy,,,,,,,,,,,
HD 102272,1,1,73.838,Topsy Turvy Galaxy,,,,,,,,,,,
HD 102329,1,2,238.59,Circinus Galaxy,,,,,,,,,,,
HD 102365,2,1,251.841,#N/A,,,,,,,,,,,
HD 102843,1,1,170.896,Whale Galaxy,,,,,,,,,,,
HD 102956,2,1,190.467,Malin 1,,,,,,,,,,,
HD 103197,1,1,237.758,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 103720,1,1,163.009,Bear Paw Galaxy,,,,,,,,,,,
HD 103774,2,1,85.047,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 103891,1,1,97.163,Milky Way,,,,,,,,,,,
HD 103949,1,1,149.378,Andromeda Galaxy,,,,,,,,,,,
HD 104067,1,2,151.214,Little Sombrero Galaxy,,,,,,,,,,,
HD 10442,1,1,143.232,Backward Galaxy,,,,,,,,,,,
HD 104985,1,1,144.019,Milky Way,,,,,,,,,,,
HD 105618,1,2,54.486,Paramecium Galaxy,,,,,,,,,,,
HD 105779,1,1,179.043,Hoag's Object,,,,,,,,,,,
HD 106252,1,1,166.728,Medusa Merger,,,,,,,,,,,
HD 106270,1,1,56.794,Blinking Galaxy,,,,,,,,,,,
HD 106315,1,2,188.166,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 10647,1,1,108.803,Alcyoneus,,,,,,,,,,,
HD 106515 A,2,1,29.77,Triangulum Galaxy,,,,,,,,,,,
HD 106906,1,1,236.926,Bode's Galaxy,,,,,,,,,,,
HD 10697,1,1,191.671,Cigar Galaxy,,,,,,,,,,,
HD 107148,2,2,36.217,Sculptor Galaxy,,,,,,,,,,,
HD 108147,1,1,42.414,Large Magellanic Cloud,,,,,,,,,,,
HD 108202,1,1,294.219,Circinus Galaxy,,,,,,,,,,,
HD 108236,1,5,256.933,Large Magellanic Cloud,,,,,,,,,,,
HD 108341,2,1,158.728,Cosmos Redshift 7,,,,,,,,,,,
HD 108863,1,1,191.922,Bear Paw Galaxy,,,,,,,,,,,
HD 108874,1,2,135.231,Needle Galaxy,,,,,,,,,,,
HD 109246,1,1,254.136,Large Magellanic Cloud,,,,,,,,,,,
HD 109271,1,2,185.153,Porpoise Galaxy,,,,,,,,,,,
HD 109286,1,1,189.999,Large Magellanic Cloud,,,,,,,,,,,
HD 109749,2,1,8.1,Grasshopper,,,,,,,,,,,
HD 10975,1,1,243.258,Pinwheel Galaxy,,,,,,,,,,,
HD 109833,1,2,98.06,Godzilla Galaxy,,,,,,,,,,,
HD 109988,1,1,203.503,Spider Galaxy,,,,,,,,,,,
HD 110014,1,1,30.06,Barnard's Galaxy,,,,,,,,,,,
HD 110067,3,6,257.822,Skyrocket Galaxy,,,,,,,,,,,
HD 110082,2,1,146.036,Fried Egg Galaxy,,,,,,,,,,,
HD 110113,1,2,156.324,Helix Galaxy,,,,,,,,,,,
HD 110537,1,1,146.634,Cosmos Redshift 7,,,,,,,,,,,
HD 11112,1,1,293.987,Dusty Hand Galaxy,,,,,,,,,,,
HD 111232,1,2,240.275,Condor Galaxy,,,,,,,,,,,
HD 111591,1,1,83.317,Medusa Merger,,,,,,,,,,,
HD 111998,1,1,123.687,Bode's Galaxy,,,,,,,,,,,
HD 112300,1,1,2.481,Cartwheel Galaxy,,,,,,,,,,,
HD 112570,1,1,171.151,Fireworks Galaxy,,,,,,,,,,,
HD 112640,1,1,254.82,Comet Galaxy,,,,,,,,,,,
HD 113337,3,2,127.628,Circinus Galaxy,,,,,,,,,,,
HIP 8541,2,2,67.28,Cigar Galaxy,,,,,,,,,,,
HD 113538,1,2,213.52,Meathook Galaxy,,,,,,,,,,,
HD 113996,2,1,0.62,Bode's Galaxy,,,,,,,,,,,
HD 114082,1,1,215.939,Grasshopper,,,,,,,,,,,
HD 114386,1,1,168.86,Topsy Turvy Galaxy,,,,,,,,,,,
HD 114729,2,1,223.765,Sculptor Galaxy,,,,,,,,,,,
HD 114783,1,2,24.881,Condor Galaxy,,,,,,,,,,,
HD 11505,1,1,4.863,Little Sombrero Galaxy,,,,,,,,,,,
HD 11506,1,3,14.203,Lindsay-Shapley Ring,,,,,,,,,,,
HD 115404 A,1,2,234.422,Cocoon Galaxy,,,,,,,,,,,
HD 115954,1,1,111.392,Pinwheel Galaxy,,,,,,,,,,,
HD 116029,2,2,276.277,Blinking Galaxy,,,,,,,,,,,
HD 117207,1,1,30.867,Triangulum Galaxy,,,,,,,,,,,
HD 11755,1,1,285.506,Knife Edge Galaxy,,,,,,,,,,,
HD 117618,1,1,241.456,Alcyoneus,,,,,,,,,,,
HD 118203,1,2,69.53,Godzilla Galaxy,,,,,,,,,,,
HD 11964,2,2,183.322,Butterfly Galaxies,,,,,,,,,,,
HD 11977,1,1,128.214,Alcyoneus,,,,,,,,,,,
HD 120084,1,1,260.04,Whirlpool Galaxy,,,,,,,,,,,
HD 121504,1,1,286.462,Barnard's Galaxy,,,,,,,,,,,
HD 12235,1,2,205.8,Bear Paw Galaxy,,,,,,,,,,,
HD 122562,1,1,75.074,Eye of God,,,,,,,,,,,
HD 124330,1,1,279.126,Large Magellanic Cloud,,,,,,,,,,,
HD 12484,1,1,271.496,UFO Galaxy,,,,,,,,,,,
HD 125271,1,1,109.851,Little Sombrero Galaxy,,,,,,,,,,,
HD 125390,1,1,237.015,Eye of Sauron,,,,,,,,,,,
HD 125595,1,1,70.782,#N/A,,,,,,,,,,,
HD 125612,2,3,181.02,Cartwheel Galaxy,,,,,,,,,,,
HD 12648,1,1,226.667,Eye of Sauron,,,,,,,,,,,
HD 126525,1,1,205.886,Fried Egg Galaxy,,,,,,,,,,,
HD 12661,1,2,2.245,Pinwheel Galaxy,,,,,,,,,,,
HD 126614,3,1,60.518,Cartwheel Galaxy,,,,,,,,,,,
HD 127506,1,1,94.57,Comet Galaxy,,,,,,,,,,,
HD 128311,1,2,293.485,Andromeda Galaxy,,,,,,,,,,,
HD 128356,1,1,140.75,Sculptor Galaxy,,,,,,,,,,,
HD 129445,1,1,165.687,Butterfly Galaxies,,,,,,,,,,,
HD 130322,1,1,242.462,Grasshopper,,,,,,,,,,,
HD 131496,1,1,132.072,Peekaboo Galaxy,,,,,,,,,,,
HD 13167,1,1,140.92,Helix Galaxy,,,,,,,,,,,
HD 13189,1,1,229.053,Eye of God,,,,,,,,,,,
HD 132406,1,1,238.818,Eye of God,,,,,,,,,,,
HD 132563,3,1,19.201,Bode's Galaxy,,,,,,,,,,,
HD 133131 A,2,3,294.65,Malin 1,,,,,,,,,,,
HD 133131 B,2,3,69.106,Hoag's Object,,,,,,,,,,,
HD 134060,1,2,198.59,Fireworks Galaxy,,,,,,,,,,,
HD 134606,1,5,262.675,Meathook Galaxy,,,,,,,,,,,
HD 134987,1,2,183.88,Fireworks Galaxy,,,,,,,,,,,
HD 135625,1,1,64.565,Bode's Galaxy,,,,,,,,,,,
HD 135694,1,1,267.124,Cocoon Galaxy,,,,,,,,,,,
HD 135872,1,1,13.895,Needle Galaxy,,,,,,,,,,,
HD 136118,1,1,46.744,Helix Galaxy,,,,,,,,,,,
HD 136352,1,3,284.663,Hockey Stick Galaxies,,,,,,,,,,,
HD 136418,1,1,154.549,Mice Galaxies,,,,,,,,,,,
HD 136925,1,1,211.41,Eye of God,,,,,,,,,,,
HD 13724,1,1,188.84,Little Sombrero Galaxy,,,,,,,,,,,
HD 137388,1,1,98.62,Eye of God,,,,,,,,,,,
HD 137496,1,2,161.351,Porpoise Galaxy,,,,,,,,,,,
HD 13808,1,2,69.566,Lindsay-Shapley Ring,,,,,,,,,,,
HD 13908,1,2,57.276,Fried Egg Galaxy,,,,,,,,,,,
HD 13931,1,1,70.442,Triangulum Galaxy,,,,,,,,,,,
HD 139357,1,1,254.265,Medusa Merger,,,,,,,,,,,
HD 1397,1,1,7.89,Hoag's Object,,,,,,,,,,,
HD 14067,1,1,68.232,Hidden Galaxy,,,,,,,,,,,
HD 140901,1,2,60.379,Circinus Galaxy,,,,,,,,,,,
HD 141004,1,1,184.473,Wolf-Lundmark-Melotte,,,,,,,,,,,
HD 141399,1,4,20.282,Cocoon Galaxy,,,,,,,,,,,
HD 141937,1,1,98.48,Porphyrion,,,,,,,,,,,
HD 142,2,3,46.296,Hidden Galaxy,,,,,,,,,,,
HD 142022 A,2,1,18.204,Fireworks Galaxy,,,,,,,,,,,
HD 142245,3,1,267.916,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 142415,1,1,192.209,Pinwheel Galaxy,,,,,,,,,,,
HD 143105,1,1,294.8,Cartwheel Galaxy,,,,,,,,,,,
HD 143361,1,1,217.859,Small Magellanic Cloud,,,,,,,,,,,
HD 144899,1,1,62.379,Comet Galaxy,,,,,,,,,,,
HD 145377,1,1,177.527,Mice Galaxies,,,,,,,,,,,
HD 145457,1,1,86.239,Barnard's Galaxy,,,,,,,,,,,
HD 145934,1,1,146.272,Southern Pinwheel Galaxy,,,,,,,,,,,
HD 1461,1,2,56.349,Helix Galaxy,,,,,,,,,,,
HD 147018,1,2,205.352,Lindsay-Shapley Ring,,,,,,,,,,,
HD 147379,2,1,213.003,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 147513,2,1,124.745,UFO Galaxy,,,,,,,,,,,
HD 14787,1,1,245.158,Knife Edge Galaxy,,,,,,,,,,,
HD 147873,2,2,72.131,Comet Galaxy,,,,,,,,,,,
HD 148156,1,1,260.294,Cartwheel Galaxy,,,,,,,,,,,
HD 148164,1,2,77.994,Comet Galaxy,,,,,,,,,,,
HD 148427,1,1,109.46,Backward Galaxy,,,,,,,,,,,
HD 149026,1,1,85.19,Large Magellanic Cloud,,,,,,,,,,,
HD 149143,1,1,157.419,Black Eye Galaxy,,,,,,,,,,,
HD 149806,1,1,254.104,Medusa Merger,,,,,,,,,,,
HD 150010,1,1,239.468,Cartwheel Galaxy,,,,,,,,,,,
HD 1502,1,1,48.567,Medusa Merger,,,,,,,,,,,
HD 150706,1,1,225.656,Starfish Galaxy,,,,,,,,,,,
HD 151450,1,2,88.15,Milky Way,,,,,,,,,,,
HD 152079,1,1,50.613,Mice Galaxies,,,,,,,,,,,
HD 152581,1,1,47.849,Pinwheel Galaxy,,,,,,,,,,,
HD 152843,1,2,76.229,Whale Galaxy,,,,,,,,,,,
HD 15337,1,2,5.884,Backward Galaxy,,,,,,,,,,,
HD 153557,1,3,260.419,Topsy Turvy Galaxy,,,,,,,,,,,
HD 153950,1,1,150.309,Hockey Stick Galaxies,,,,,,,,,,,
HD 154088,1,1,7.793,Mice Galaxies,,,,,,,,,,,
HD 154345,1,1,137.274,Backward Galaxy,,,,,,,,,,,
HD 154391,1,1,293.004,Topsy Turvy Galaxy,,,,,,,,,,,
HD 154672,1,1,73.002,Backward Galaxy,,,,,,,,,,,
HD 154857,1,2,23.807,Circinus Galaxy,,,,,,,,,,,
HD 155193,1,1,291.674,Black Eye Galaxy,,,,,,,,,,,
HD 155358,1,2,234.614,Little Sombrero Galaxy,,,,,,,,,,,
HD 155918,1,2,266.588,Backward Galaxy,,,,,,,,,,,
HD 156098,1,2,28.025,Hockey Stick Galaxies,,,,,,,,,,,
HD 156279,1,2,212.247,Little Sombrero Galaxy,,,,,,,,,,,
HD 156411,1,1,204.306,Bear Paw Galaxy,,,,,,,,,,,
HD 156668,1,2,229.374,Meathook Galaxy,,,,,,,,,,,
HD 156846,2,1,260.324,Meathook Galaxy,,,,,,,,,,,
HD 158038,1,1,233.778,Small Magellanic Cloud,,,,,,,,,,,
HD 158259,1,5,90.534,Whale Galaxy,,,,,,,,,,,
HD 158996,1,1,23.89,Hockey Stick Galaxies,,,,,,,,,,,
HD 15906,1,2,204.064,Cosmos Redshift 7,,,,,,,,,,,
HD 159243,1,2,249.514,Butterfly Galaxies,,,,,,,,,,,
HD 159868,1,2,292.54,Porpoise Galaxy,,,,,,,,,,,
HD 1605,1,2,29.037,Little Sombrero Galaxy,,,,,,,,,,,
HD 160691,1,4,20.573,Little Sombrero Galaxy,,,,,,,,,,,
HD 161178,1,1,166.338,Spider Galaxy,,,,,,,,,,,
HD 16141,2,1,0.286,Needle Galaxy,,,,,,,,,,,
HD 16175,1,1,271.73,Porphyrion,,,,,,,,,,,
HD 162020,1,1,213.78,Porpoise Galaxy,,,,,,,,,,,
HD 163607,1,2,275.43,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 16417,2,1,289.7,Spider Galaxy,,,,,,,,,,,
HD 164509,2,1,76.461,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 164595,2,1,53.824,Lindsay-Shapley Ring,,,,,,,,,,,
HD 164604,1,1,73.194,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 164922,1,4,198.763,Butterfly Galaxies,,,,,,,,,,,
HD 165131,1,1,174.342,Medusa Merger,,,,,,,,,,,
HD 165155,1,1,235.599,Eye of Sauron,,,,,,,,,,,
HD 1666,1,1,130.675,Dusty Hand Galaxy,,,,,,,,,,,
HD 166724,1,1,137.21,Medusa Merger,,,,,,,,,,,
HD 167042,1,1,257.678,Topsy Turvy Galaxy,,,,,,,,,,,
HD 167677,1,1,107.97,Barnard's Galaxy,,,,,,,,,,,
HD 167768,1,1,72.631,Butterfly Galaxies,,,,,,,,,,,
HD 168009,1,1,50.74,Wolf-Lundmark-Melotte,,,,,,,,,,,
HD 168443,1,2,267.782,Mice Galaxies,,,,,,,,,,,
HD 168746,1,1,59.392,Helix Galaxy,,,,,,,,,,,
HD 168863,1,1,111.986,Butterfly Galaxies,,,,,,,,,,,
HD 1690,1,1,187.112,Peekaboo Galaxy,,,,,,,,,,,
HD 16905,1,1,10.272,Hoag's Object,,,,,,,,,,,
HD 169142,1,1,155.231,Triangulum Galaxy,,,,,,,,,,,
HD 169830,1,2,8.27,Mice Galaxies,,,,,,,,,,,
HD 170469,2,1,202.869,Topsy Turvy Galaxy,,,,,,,,,,,
HD 17092,1,1,136.195,Butterfly Galaxies,,,,,,,,,,,
HD 171028,1,1,288.743,Knife Edge Galaxy,,,,,,,,,,,
HD 171238,1,1,129.785,Mice Galaxies,,,,,,,,,,,
HD 17156,1,1,34.084,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 173416,1,1,291.882,Hockey Stick Galaxies,,,,,,,,,,,
HD 174205,1,1,66.391,Mice Galaxies,,,,,,,,,,,
HD 175167,1,1,8.594,Grasshopper,,,,,,,,,,,
HD 175541,1,1,270.973,Hoag's Object,,,,,,,,,,,
HD 175607,1,1,53.212,Comet Galaxy,,,,,,,,,,,
HD 17674,1,1,213.978,Malin 1,,,,,,,,,,,
HD 176986,1,2,291.327,Coma Pinwheel Galaxy,,,,,,,,,,,
HD 177565,1,1,176.374,Hidden Galaxy,,,,,,,,,,,
HD 177830,2,2,113.193,Little Sombrero Galaxy,,,,,,,,,,,
HD 178911 B,3,1,81.145,Whirlpool Galaxy,,,,,,,,,,,
HD 179079,1,1,41.966,Lindsay-Shapley Ring,,,,,,,,,,,
HD 179949,1,1,123.203,Lindsay-Shapley Ring,,,,,,,,,,,
HD 180053,1,1,108.481,Sombrero Galaxy,,,,,,,,,,,
HD 18015,1,1,124.853,Cosmos Redshift 7,,,,,,,,,,,
HD 180314,1,1,59.902,Black Eye Galaxy,,,,,,,,,,,
HD 180617,2,1,184.041,Sculptor Galaxy,,,,,,,,,,,
HD 180902,2,1,12.248,Spider Galaxy,,,,,,,,,,,
HD 181234,1,1,173.209,Dusty Hand Galaxy,,,,,,,,,,,
HD 181342,1,1,192.997,Spider Galaxy,,,,,,,,,,,
HD 18143,1,2,111.873,Meathook Galaxy,,,,,,,,,,,
HD 181433,1,3,103.241,Paramecium Galaxy,,,,,,,,,,,
HD 181720,1,1,297.042,Eye of God,,,,,,,,,,,
HD 183263,1,2,142.625,Antennae Galaxies,,,,,,,,,,,
HD 183579,1,1,214.323,Bear Paw Galaxy,,,,,,,,,,,
HD 184010,1,3,162.518,Fried Egg Galaxy,,,,,,,,,,,
HD 18438,1,1,112.466,Andromeda Galaxy,,,,,,,,,,,
HD 185269,3,1,260.418,Grasshopper,,,,,,,,,,,
HD 185283,1,1,14.079,Meathook Galaxy,,,,,,,,,,,
HD 18599,2,1,8.181,Pinwheel Galaxy,,,,,,,,,,,
HD 187085,1,1,117.167,Cigar Galaxy,,,,,,,,,,,
HD 187123,1,2,70.176,Tadpole Galaxy,,,,,,,,,,,
HD 18742,1,1,126.204,Barnard's Galaxy,,,,,,,,,,,
HD 188015,2,1,250.68,Spider Galaxy,,,,,,,,,,,
HD 188641,1,1,153.623,Porpoise Galaxy,,,,,,,,,,,
HD 189567,1,2,46.55,Condor Galaxy,,,,,,,,,,,
HD 189733,2,1,255.465,Knife Edge Galaxy,,,,,,,,,,,
HD 190007,1,1,136.685,Paramecium Galaxy,,,,,,,,,,,
HD 190228,1,1,80.865,Cigar Galaxy,,,,,,,,,,,
HD 190360,2,2,229.109,Eye of God,,,,,,,,,,,
HD 190647,1,1,154.189,Bode's Galaxy,,,,,,,,,,,
HD 190984,1,1,169.282,Tadpole Galaxy,,,,,,,,,,,
HD 191806,1,1,234.27,Cocoon Galaxy,,,,,,,,,,,
HD 191939,1,6,59.011,Condor Galaxy,,,,,,,,,,,
HD 192263,1,1,97.026,Skyrocket Galaxy,,,,,,,,,,,
HD 192310,1,2,47.697,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 192699,1,1,259.372,Whirlpool Galaxy,,,,,,,,,,,
HD 194490,1,1,184.148,Hoag's Object,,,,,,,,,,,
HD 195019,2,1,209.306,Medusa Merger,,,,,,,,,,,
HD 196050,3,1,173.089,Spiderweb Galaxy,,,,,,,,,,,
HD 196067,2,1,47.971,Little Sombrero Galaxy,,,,,,,,,,,
HD 19615,1,1,199.646,Small Magellanic Cloud,,,,,,,,,,,
HD 196885 A,2,1,237.94,Eye of Sauron,,,,,,,,,,,
HD 197037,2,1,134.661,Lindsay-Shapley Ring,,,,,,,,,,,
HD 199509,1,1,68.698,Backward Galaxy,,,,,,,,,,,
HD 19994,3,1,94.791,Grasshopper,,,,,,,,,,,
HD 20003,1,2,80.014,Hoag's Object,,,,,,,,,,,
HD 200964,1,2,48.17,Skyrocket Galaxy,,,,,,,,,,,
HD 202206,2,1,188.445,Antennae Galaxies,,,,,,,,,,,
HD 202696,1,2,281.033,Mice Galaxies,,,,,,,,,,,
HD 202772 A,2,1,290.469,Antennae Galaxies,,,,,,,,,,,
HD 203030,1,1,271.608,Hoag's Object,,,,,,,,,,,
HD 20329,1,1,232.767,Antennae Galaxies,,,,,,,,,,,
HD 203387,1,2,195.573,Hockey Stick Galaxies,,,,,,,,,,,
HD 2039,1,1,21.068,Small Magellanic Cloud,,,,,,,,,,,
HD 204313,1,3,69.164,Black Eye Galaxy,,,,,,,,,,,
HD 204941,2,1,183.451,Small Magellanic Cloud,,,,,,,,,,,
HD 205158,1,1,253.441,Comet Galaxy,,,,,,,,,,,
HD 205739,1,1,60.693,Andromeda Galaxy,,,,,,,,,,,
HD 206255,1,1,165.003,Cigar Galaxy,,,,,,,,,,,
HD 206610,1,1,45.137,Mice Galaxies,,,,,,,,,,,
HD 206893,1,2,216.475,Paramecium Galaxy,,,,,,,,,,,
HD 207496,1,1,107.198,Grasshopper,,,,,,,,,,,
HD 20781,2,5,290.645,Circinus Galaxy,,,,,,,,,,,
HD 20782,2,5,107.353,Needle Galaxy,,,,,,,,,,,
HD 207832,3,2,177,Knife Edge Galaxy,,,,,,,,,,,
HD 207897,1,1,277.004,Whirlpool Galaxy,,,,,,,,,,,
HD 20794,1,4,73.679,Little Sombrero Galaxy,,,,,,,,,,,
HD 208487,1,1,3.776,Mice Galaxies,,,,,,,,,,,
HD 208527,1,1,130.008,Starfish Galaxy,,,,,,,,,,,
HD 20868,1,1,74.399,Little Sombrero Galaxy,,,,,,,,,,,
HD 208897,1,1,143.165,Mice Galaxies,,,,,,,,,,,
HD 209458,1,1,114.231,Godzilla Galaxy,,,,,,,,,,,
HD 210193,1,1,114.123,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 210277,1,1,143.438,Cartwheel Galaxy,,,,,,,,,,,
HD 210702,1,1,115.456,Pinwheel Galaxy,,,,,,,,,,,
HD 211403,1,1,120.323,Small Magellanic Cloud,,,,,,,,,,,
HD 211810,1,1,260.456,Cosmos Redshift 7,,,,,,,,,,,
HD 211970,1,1,151.394,Mayall's Object,,,,,,,,,,,
HD 212301,2,1,42.324,Blinking Galaxy,,,,,,,,,,,
HD 212771,1,1,103.799,Paramecium Galaxy,,,,,,,,,,,
HD 213240,2,1,26.243,Sunflower Galaxy,,,,,,,,,,,
HD 213472,1,1,156.451,Knife Edge Galaxy,,,,,,,,,,,
HD 213519,1,1,2.308,Cartwheel Galaxy,,,,,,,,,,,
HD 213885,1,2,67.503,Porphyrion,,,,,,,,,,,
HD 21411,1,1,102.334,Hidden Galaxy,,,,,,,,,,,
HD 214823,2,1,102.227,Antennae Galaxies,,,,,,,,,,,
HD 215152,1,4,256.086,Medusa Merger,,,,,,,,,,,
HD 21520,1,1,224.929,Fireworks Galaxy,,,,,,,,,,,
HD 215497,1,2,261.54,Dusty Hand Galaxy,,,,,,,,,,,
HD 216435,1,1,72.192,Eye of God,,,,,,,,,,,
HD 216437,1,1,177.531,Little Sombrero Galaxy,,,,,,,,,,,
HD 216520,1,2,255.952,Large Magellanic Cloud,,,,,,,,,,,
HD 216536,1,1,270.92,Backward Galaxy,,,,,,,,,,,
HD 216770,1,1,161.742,Cartwheel Galaxy,,,,,,,,,,,
HD 21693,1,2,89.901,Triangulum Galaxy,,,,,,,,,,,
HD 217107,1,2,46.818,Cartwheel Galaxy,,,,,,,,,,,
HD 217786,2,2,125.499,Little Sombrero Galaxy,,,,,,,,,,,
HD 217958,1,1,259.001,Needle Galaxy,,,,,,,,,,,
HD 218566,1,1,127.408,Alcyoneus,,,,,,,,,,,
HD 219077,1,1,163.388,Circinus Galaxy,,,,,,,,,,,
HD 219134,1,6,190.843,Hoag's Object,,,,,,,,,,,
HD 219139,1,1,123.092,Condor Galaxy,,,,,,,,,,,
HD 219415,1,1,34.923,Cocoon Galaxy,,,,,,,,,,,
HD 219666,1,1,245.681,Grasshopper,,,,,,,,,,,
HD 219828,1,2,271.309,Fireworks Galaxy,,,,,,,,,,,
HD 220074,1,1,142.779,Bear Paw Galaxy,,,,,,,,,,,
HD 220197,1,1,238.498,Helix Galaxy,,,,,,,,,,,
HD 220689,1,1,239.249,Bear Paw Galaxy,,,,,,,,,,,
HD 220773,1,1,253.138,Coma Pinwheel Galaxy,,,,,,,,,,,
HD 220842,2,1,46.342,Cartwheel Galaxy,,,,,,,,,,,
HD 221287,1,1,110.655,Cigar Galaxy,,,,,,,,,,,
HD 221416,1,1,234.707,Spiderweb Galaxy,,,,,,,,,,,
HD 221420,1,1,65.201,Topsy Turvy Galaxy,,,,,,,,,,,
HD 221585,1,1,5.794,Cocoon Galaxy,,,,,,,,,,,
HD 222076,1,1,160.669,Medusa Merger,,,,,,,,,,,
HD 222155,1,1,209.348,Meathook Galaxy,,,,,,,,,,,
HD 222237,1,1,63.337,Cocoon Galaxy,,,,,,,,,,,
HD 222582,2,1,275.878,Dusty Hand Galaxy,,,,,,,,,,,
HD 224538,1,1,72.488,Lindsay-Shapley Ring,,,,,,,,,,,
HD 224693,1,1,159.7,Peekaboo Galaxy,,,,,,,,,,,
HD 22496,1,1,229.497,Dusty Hand Galaxy,,,,,,,,,,,
HD 22532,1,1,265.919,Dusty Hand Galaxy,,,,,,,,,,,
HD 22781,1,1,289.493,Dusty Hand Galaxy,,,,,,,,,,,
HD 22946,1,3,44.572,Cocoon Galaxy,,,,,,,,,,,
HD 23079,1,1,240.415,Cosmos Redshift 7,,,,,,,,,,,
HD 23127,1,1,15.954,Medusa Merger,,,,,,,,,,,
HD 231701,1,1,39.234,Meathook Galaxy,,,,,,,,,,,
HD 233604,1,1,125.272,Eye of God,,,,,,,,,,,
HD 233832,2,1,45.21,Little Sombrero Galaxy,,,,,,,,,,,
HD 23472,1,5,70.417,Mayall's Object,,,,,,,,,,,
HD 235088,1,1,122.239,Malin 1,,,,,,,,,,,
HD 23596,2,1,120.933,Andromeda Galaxy,,,,,,,,,,,
HD 238090,1,1,59.764,Southern Pinwheel Galaxy,,,,,,,,,,,
HD 238914,1,1,32.701,Coma Pinwheel Galaxy,,,,,,,,,,,
HD 240210,1,1,195.235,Paramecium Galaxy,,,,,,,,,,,
HD 240237,1,1,262.23,UFO Galaxy,,,,,,,,,,,
HD 24040,1,2,193.84,Fireworks Galaxy,,,,,,,,,,,
HD 24064,1,1,142.214,Wolf-Lundmark-Melotte,,,,,,,,,,,
HD 24085,1,1,9.037,Porpoise Galaxy,,,,,,,,,,,
HD 25015,1,1,194.42,Cocoon Galaxy,,,,,,,,,,,
HD 25171,2,1,38.786,Circinus Galaxy,,,,,,,,,,,
HD 25463,1,2,297.809,Sculptor Dwarf Galaxy,,,,,,,,,,,
HD 25723,1,1,91.832,Cartwheel Galaxy,,,,,,,,,,,
HD 25912,1,2,115.796,Mayall's Object,,,,,,,,,,,
HD 260655,1,2,127.758,Godzilla Galaxy,,,,,,,,,,,
HD 26161,1,1,39.821,Bode's Galaxy,,,,,,,,,,,
HD 2638,3,1,156.292,Condor Galaxy,,,,,,,,,,,
HD 2685,1,1,159.94,Little Sombrero Galaxy,,,,,,,,,,,
HD 27442,2,1,216.923,Small Magellanic Cloud,,,,,,,,,,,
HD 27631,1,1,137.982,Butterfly Galaxies,,,,,,,,,,,
HD 27894,1,3,188.169,Southern Pinwheel Galaxy,,,,,,,,,,,
HD 27969,1,1,138.63,Fireworks Galaxy,,,,,,,,,,,
HD 28109,1,3,150.415,Triangulum Galaxy,,,,,,,,,,,
HD 28185,1,2,8.397,Barnard's Galaxy,,,,,,,,,,,
HD 28192,1,1,201.416,Malin 1,,,,,,,,,,,
HD 28254,2,1,98.893,Sculptor Galaxy,,,,,,,,,,,
HD 284149 A,2,1,29.803,Medusa Merger,,,,,,,,,,,
HD 285507,1,1,204.487,Meathook Galaxy,,,,,,,,,,,
HD 285968,1,1,205.395,Black Eye Galaxy,,,,,,,,,,,
HD 28678,1,1,5.655,Godzilla Galaxy,,,,,,,,,,,
HD 29021,1,1,199.489,Circinus Galaxy,,,,,,,,,,,
HD 290327,1,1,114.971,Cocoon Galaxy,,,,,,,,,,,
HD 29399,1,1,261.626,Grasshopper,,,,,,,,,,,
HD 2952,1,1,299.872,Medusa Merger,,,,,,,,,,,
